airport_name,iata_code,icao_code,latitude,longitude,gmt,country_iso2
Guanambi,GNM,SNGI,-14.3,-42.783333,-3,BR
Ghinnir,GNN,HAGH,7.15,40.716667,3,ET
General Roca,GNR,SAHR,-39.983334,-67.6,-3,AR
Binaka,GNS,WIMB,1.25,97.5,7,ID
Milan,GNT,KGNT,35.15,-107.86667,-7,US
Gainesville Regional,GNV,KGNV,29.686142,-82.276794,-5,US
Guney Anadolu Projesi,GNY,LTCH,37.094166,38.846943,3,TR
Ghanzi,GNZ,FBGZ,-21.7,21.666668,2,BW
Cristoforo Colombo,GOA,LIMJ,44.415066,8.85081,1,IT
Goba,GOB,HAGB,7.013889,39.980556,3,ET
Gobabis,GOG,FYGB,-22.504723,18.974722,2,NA
Nuuk,GOH,BGGH,64.181946,-51.725,-3,GL
Goa International,GOI,VAGO,15.384534,73.83983,5.30,IN
Nizhniy Novgorod,GOJ,UWGG,56.218613,43.789764,3,RU
Goma,GOM,FZNA,-1.67,29.235,2,CD
New London,GON,KGON,41.328888,-72.04639,-5,US
Goondiwindi,GOO,YGDI,-28.524445,150.31944,10,AU
Gorakhpur,GOP,VEGK,26.746862,83.44376,5.30,IN
Golmud,GOQ,ZLGM,36.404633,94.78931,8,CN
Gore,GOR,HAGR,8.155556,35.538055,3,ET
Landvetter,GOT,ESGG,57.66664,12.294878,1,SE
Garoua,GOU,FKKR,9.336111,13.375556,1,CM
Nhulunbuy,GOV,YPGV,-12.269595,136.82265,9.30,AU
Amparai,GOY,VCCG,7.333333,81.61667,5.30,LK
Gorna Oriahovitsa,GOZ,LBGO,43.11667,25.666668,2,BG
Araxos Airport,GPA,LGRX,38.25,21.733334,2,GR
Tancredo Thomaz Faria,GPB,SSUW,-25.333332,-51.5,-3,BR
Guapi,GPI,SKGP,2.5,-78.34167,-5,CO
Guapiles,GPL,MRGP,10.2,-83.8,-6,CR
Garden Point,GPN,YGPT,-11.766667,130.01666,9.30,AU
General Pico,GPO,SAZG,-35.63333,-63.766666,-3,AR
Baltra,GPS,SEGS,-0.434722,-90.282776,-6,EC
Gulfport-Biloxi International,GPT,KGPT,30.413284,-89.07203,-6,US
Grand Rapids,GPZ,KGPZ,47.214443,-93.51111,-6,US
Galion,GQQ,KGQQ,40.736668,-82.757225,-5,US
Austin-straubel Field,GRB,KGRB,44.492847,-88.121895,-6,US
Greenwood,GRD,KGRD,34.25139,-82.15833,-5,US
Municipal,GRE,KGRE,38.88333,-89.416664,-6,US
Grand Island,GRI,KGRI,40.96722,-98.30666,-6,US
George,GRJ,FAGG,-34.00148,22.382235,2,ZA
Robert Gray AAF,GRK,KGRK,31.061821,-97.820915,-6,US
Devils Track,GRM,KCKC,46.666668,-85.98333,-6,US
Gordon,GRN,KGRN,42.8,-102.2,-7,US
Girona-Costa Brava,GRO,LEGE,41.89804,2.766383,1,ES
Gurupi,GRP,SWGI,-11.666667,-49.216667,-3,BR
Eelde,GRQ,EHGG,53.120277,6.575556,1,NL
Gerald R. Ford International,GRR,KGRR,42.88501,-85.52974,-5,US
Baccarini,GRS,LIRS,42.761944,11.070556,1,IT
Aeroporto Internacional Guarulhos,GRU,SBGR,-23.425669,-46.481926,-3,BR
Groznyj,GRV,URMG,43.333332,45.75,3,RU
Graciosa Island,GRW,LPGR,39.090954,-28.027958,-1,PT
Granada,GRX,LEGR,37.184727,-3.776954,1,ES
Grimsey,GRY,BIGR,66.566666,-18.016666,,IS
Thalerhof,GRZ,LOWG,46.994125,15.444928,1,AT
Long Pasia,GSA,WBKN,4.416667,115.76667,8,MY
Gothenburg City Airport,GSE,ESGP,57.77775,11.864513,1,SE
Puerto San Jose,GSJ,MGSJ,13.93619,-90.83583,-6,GT
Mount Gunson,GSN,YMGN,-31.666668,137.76666,9.30,AU
Piedmont Triad International,GSO,KGSO,36.105324,-79.9373,-5,US
Greenville Spartanburg International Airport,GSP,KGSP,34.890568,-82.21706,-5,US
Shark Elowainat,GSQ,HEOW,22.583332,28.716667,2,EG
Gardo,GSR,HCMG,9.5,49.05,3,SO
Sabi Sabi,GSS,FASE,-25.116667,30.8,2,ZA
Gustavus Airport,GST,PAGS,58.4275,-135.705,-9,US
Gatokae Aerodrom,GTA,AGOK,-8.766667,158.18333,11,SB
Alyangula,GTE,YGTE,-13.973887,136.46002,9.30,AU
Great Falls International Airport,GTF,KGTF,47.481888,-111.35636,-7,US
Municipal,GTG,KGTG,45.783333,-92.683334,-6,US
Glentanner,GTN,NZMC,-43.766666,170.13611,12,NZ
Tolotio,GTO,WAMG,0.639039,122.850876,8,ID
Golden Triangle Reg.,GTR,KGTR,33.45,-88.6,-6,US
Granites,GTS,YGDW,-26.966667,133.61667,9.30,AU
Georgetown,GTT,YGTN,-18.416668,143.78334,10,AU
La Aurora,GUA,MGGT,14.588071,-90.53068,-6,GT
Guerrero Negro,GUB,MMGR,28.033333,-114.066666,-7,MX
Gunnison,GUC,KGUC,38.53389,-106.93889,-7,US
Goundam,GUD,GAGM,16.3575,-3.609722,,ML
Edwards,GUF,KJKA,30.166668,-87.583336,-6,US
Gunnedah,GUH,YGDH,-30.95,150.23334,10,AU
Guiria,GUI,SVGI,10.566667,-62.3,-4,VE
Guaratingueta,GUJ,SBGW,-22.816668,-45.216667,-3,BR
Goulburn,GUL,YGLB,-34.75,149.71666,10,AU
Guam International,GUM,PGUM,13.492787,144.80486,10,GU
Senator Clark,GUP,KGUP,35.511112,-108.78667,-7,US
Guanare,GUQ,SVGU,9.025278,-69.75,-4,VE
Gurney,GUR,AYGN,-10.310833,150.33861,10,PG
Grissom AFB,GUS,KGUS,40.75,-86.066666,-5,US
Guetersloh,GUT,ETUO,51.9,8.383333,1,DE
Grundarfjordur,GUU,BIGF,64.96667,-23.166668,,IS
Atyrau International,GUW,UATG,47.122814,51.829556,5,KZ
Guna,GUX,VAGN,24.666668,77.316666,5.30,IN
Guymon,GUY,KGUY,36.682777,-101.507774,-6,US
Guarapari,GUZ,SNGA,-20.65,-40.49167,-3,BR
Geneve-cointrin,GVA,LSGG,46.229633,6.105774,1,CH
Lee Gilmer Memorial,GVL,KGVL,34.3,-83.833336,-5,US
Greenvale,GVP,YGNV,-15.783333,144.61667,10,AU
Governador Valadares,GVR,SNGV,-18.850279,-41.933334,-3,BR
Majors Field,GVT,KGVT,33.066666,-96.06167,-6,US
Sandviken,GVX,ESSK,60.593887,16.954721,1,SE
Gwa,GWA,VYGW,21,94,6.30,MM
Gwadar,GWD,OPGD,25.230556,62.33889,5,PK
Gweru,GWE,FVTL,-19.435833,29.86111,2,ZW
Gwalior,GWL,VIGR,26.293888,78.23,5.30,IN
Leflore,GWO,KGWO,33.495,-90.08889,-6,US
Westerland - Sylt,GWT,EDXW,54.91528,8.343056,1,DE
Carnmore,GWY,EICM,53.283333,-9.033333,,IE
Seiyun,GXF,OYSY,15.961794,48.787086,3,YE
Negage,GXG,FNNG,-7.783333,15.45,1,AO
Ten. Vidal,GXQ,SCCY,-45.58889,-72.09861,-4,CL
Yagoua,GXX,FKKJ,10.358333,15.2375,1,CM
Weld County,GXY,KGXY,40.416668,-104.7,-7,US
Guayaramerin,GYA,SLGY,-10.83,-65.361664,-4,BO
Heydar Aliyev International (Bina International),GYD,UBBB,40.462486,50.05039,4,AZ
Jose Joaquin De Olmedo,GYE,SEGU,-2.142654,-79.88032,-5,EC
Gisenyi,GYI,HRYG,-1.683333,29.25,2,RW
Argyle,GYL,YARG,-16.333332,128.66667,8,AU
Gen Jose M Yanez,GYM,MMGM,27.955557,-110.93056,-7,MX
Santa Genoveva,GYN,SBGO,-16.632631,-49.226624,-3,BR
Gympie,GYP,YGYM,-26.183332,152.63333,10,AU
Litchfield,GYR,KGYR,33.433334,-112.35,-7,US
Guang Yuan,GYS,ZUGU,32.395,105.69972,8,CN
Gary/Chicago International,GYY,KGYY,41.61667,-87.416664,-6,US
Gizo,GZO,AGGN,-8.116667,156.83333,11,SB
Gazipasa Airport,GZP,LTFG,36.2993,32.3014,3,TR
Gaziantep,GZT,LTAJ,36.944935,37.473747,3,TR
Hasvik,HAA,ENHK,70.46667,22.15,1,NO
Marion County,HAB,KHAB,34.15,-88.1,-6,US
Hachijo Jima,HAC,RJTH,33.117947,139.78122,9,JP
Halmstad,HAD,ESMT,56.680935,12.815005,1,SE
Half Moon,HAF,KHAF,37.466667,-122.433334,-8,US
Prince Said Ibrahim In,HAH,FMCH,-11.537275,43.27492,3,KM
Hanover Airport,HAJ,EDDV,52.459255,9.694766,1,DE
Haikou,HAK,ZJHK,19.941612,110.45717,8,CN
Hamburg Airport,HAM,EDDH,53.63128,10.006414,1,DE
Noibai International,HAN,VVNB,21.214184,105.802826,7,VN
Hanimaadhoo,HAQ,VRMH,6.748433,73.16838,5,MV
Capital City,HAR,KCXY,40.21611,-76.85222,-5,US
Hail,HAS,OEHL,27.438158,41.690483,3,SA
Haugesund,HAU,ENHD,59.344765,5.215903,1,NO
Jose Marti International,HAV,MUHA,22.99845,-82.40818,-5,CU
Haverfordwest,HAW,EGFE,51.8,-4.966667,,GB
Hobart,HBA,YMHB,-42.837257,147.50519,10,AU
Borg el Arab,HBE,HEBA,30.922234,29.686504,2,EG
The Hattiesburg-Bobby L. Chain Mun.,HBG,KHBG,31.316668,-89.26667,-6,US
Hobart,HBR,KHBR,35.016666,-99.1,-6,US
Hubli,HBX,VAHB,15.358738,75.08608,5.30,IN
Eil,HCM,HCME,7.916667,49.8,3,SO
Hengchun,HCN,RCKW,21.933332,120.833336,8,TW
Halls Creek,HCQ,YHLC,-18.233334,127.666664,8,AU
Holy Cross,HCR,PAHC,62.18889,-159.77167,-9,US
Cheraw,HCW,KCQW,34.7,-79.88333,-5,US
